sample	run_accession	group   	Maturity	Environment	Infectious	DevelopmentalStage	Sex	CultureCondition	CultureTime	CultureTemp	BaermannTime	BaermannTemp	AgaroseMigrationTime	ExtractName
ERR146941	ERR146941	FLF	Adult	External	Non_Parasitic	Young gravid females with 1-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                          	Female	Incubated	48	21	1	29	1	FL_Female_20110928
ERR146942	ERR146942	FLF	Adult	External	Non_Parasitic	Young gravid females with 2-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                        	Female	Incubated	48	20.6	1	29	1	FL_Female_20111012
ERR146943	ERR146943	FLF	Adult	External	Non_Parasitic	Young gravid females with 2-10 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                       	Female	Incubated	48	20.5	1	28	1	FL_Female_20111013
ERR146944	ERR146944	iL3a	Larval	Host	Parasitic	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                     	Female	In vivo	72	na	na	na	na	L3_plus_g1
ERR146945	ERR146945	iL3a	Larval	Host	Parasitic	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Female	In vivo	72	na	na	na	na	L3_plus_g2
ERR146946	ERR146946	iL3a	Larval	Host	Parasitic	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Female	In vivo	72	na	na	na	na	L3_plus_g3
ERR146947	ERR146947	iL3	Larval	External	Parasitic	Young infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Female	Incubated	192	21	1	30	2	L3i_20110803
ERR146948	ERR146948	iL3	Larval	External	Parasitic	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	Female	Incubated	168	25	1	28	1	L3i_20110923
ERR146949	ERR146949	iL3	Larval	External	Parasitic	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	Female	Incubated	240	21	1	27	0.5	L3i_20111104
ERR146950	ERR146950	pfL1   	Larval	External	Non_Parasitic	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	Female	Incubated	72	21	2	29	2	PFL_L1_20110930
ERR146951	ERR146951	pfL1   	Larval	External	Non_Parasitic	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	Female	Incubated	72	20.5	2	29	2	PFL_L1_20111010
ERR146952	ERR146952	pfL1   	Larval	External	Non_Parasitic	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	Female	Incubated	72	20.5	2	29	2	PFL_L1_20111017
ERR146953	ERR146953	ppL1    	Larval	External	Non_Parasitic	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Mixed sex	Isolated from fresh canine feces	na	na	2	29	2	PP_L1_20110927
ERR146954	ERR146954	ppL1    	Larval	External	Non_Parasitic	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Mixed sex	Isolated from fresh canine feces	na	na	2	28	2	PP_L1_20111013
ERR146955	ERR146955	ppL1    	Larval	External	Non_Parasitic	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Mixed sex	Isolated from fresh canine feces	na	na	2	28	2	PP_L1_20111017
ERR146956	ERR146956	ppL3    	Larval	External	Non_Parasitic	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                               	Female enriched	Incubated	24	21	1	29	2	PP_L3_20110929
ERR146957	ERR146957	ppL3    	Larval	External	Non_Parasitic	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             	Female enriched	Incubated	24	21	1	29.5	1	PP_L3_20111003
ERR146958	ERR146958	ppL3    	Larval	External	Non_Parasitic	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             	Female enriched	Incubated	24	20.6	1	28	1	PP_L3_20111012
ERR146959	ERR146959	PF	Adult	Host	Parasitic	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Female	In vivo	21	na	na	na	na	P_Female_g1
ERR146960	ERR146960	PF	Adult	Host	Parasitic	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Female	In vivo	21	na	na	na	na	P_Female_g2
ERR146961	ERR146961	PF	Adult	Host	Parasitic	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Female	In vivo	21	na	na	na	na	P_Female_g3
