"","geneID","L1-DRR029433","L1-DRR029434","iL3-DRR029435","iL3-DRR029436","L3_lung-DRR029437","L3_lung-DRR029438","Young_FLF-DRR029439","Young_FLF-DRR029440","FLF-DRR029441","FLF-DRR029442","iL3a_1d-DRR029443","iL3a_5d-DRR029444","Egg-DRR029445","Egg-DRR029282","FLF-DRR106346","FLF-DRR106347","FLF-DRR106348","FLF-DRR106349","FLF-DRR106350","FLF-DRR106351","PF-DRR106352","PF-DRR106353","PF-DRR106354","PF-DRR106355","PF-DRR106356","PF-DRR106357"
"1","SVE_0000062250",0,0,0,0,0,0,0.0373729294527504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","SVE_0000063250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12439574747203,0,0,0,0,0,0.0616677611622323,0.059920315124877,0,0.0712801130360144,0,0.0657018458879852
"3","SVE_0000382550",0.077858293330767,0,0.0275058609229785,0,0,0,0,0,0,0,0,0,0,0.0333992015401192,0.0627432228533459,0.0630377231025017,0.0655360286764017,0.0640242987515301,0,0.0884224441880776,0,0,0,0,0,0
"4","SVE_0000399650",0,0,0,0,0,0,0,0,0,0,0,0.096538529932896,0,0,0.0585084023522739,0,0,0,0,0,0,0,0,0,0,0.0508395204784233
"5","SVE_0000434133",0,0,0,0.0607948256633225,0,0,0,0,0.0725117882507533,0,0,0.0624821231071908,0,0,0,0,0.217511156006776,0,0,0,0,0,0,0,0,0
"6","SVE_0000434166",0,0,0,0,0.0856592541811556,0,0,0,0.0492370344452364,0,0,0,0,0,0,0,0,0,0,0,0,0.0755541080080536,0,0,0,0
"7","SVE_0000503850",0,0,0,0,0,0,0,0,0,0,0,0.0288056619612987,0.0381265248410734,0.0310194993090509,0.0696282521291522,0,0,0,0,0.19518122703958,0,0.0673738876318483,0,0,0,0
"8","SVE_0000569650",0,0,0.0350588510853766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125721189367361,0.184677007151308,0,0,0,0.0564497184873075,0,0,0,0.0566817970028663
"9","SVE_0000572950",0.0470466873479612,0,0,0,0.0841066994066737,0,0.0372817906304464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","SVE_0000657250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601827661862321,0,0,0,0
"11","SVE_0000660650",0.0373397622499941,0,0.119136511754032,0,0,0,0,0,0,0,0.0383027543778244,0.0452101769210951,0,0,0.156839535123588,0.273461726038539,0,0,0,0,0,0.0928452061493206,0,0,0,0.0451849549927636
"12","SVE_0000860150",0,0,0,0,0,0,0.0321597793789458,0,0,0,0,0,0,0,0.179111190719074,0.0607376683246058,0,0,0.0893054844510053,0.0849592698580074,0,0,0,0,0,0
"13","SVE_0000894350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081613305383802,0,0,0,0,0,0,0
"14","SVE_0000939350",0,0,0,0,0.0394939470098626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0948427959949116,0,0,0,0
"15","SVE_0000940450",0,0,0,0,0.0351222509853127,0,0.0397947735396842,0,0.0293029880445328,0,0.0341671387415993,0,0,0,0,0.0573552180610161,0,0.0588616364533931,0,0,0.0542974306016977,0,0.0613654882820245,0,0,0
"16","SVE_0000992650",0,0,0,0,0,0,0,0,0.0687255982544712,0,0,0,0,0,0,0,0,0,0,0,0,0.0498091976156507,0,0,0,0
"17","SVE_0001000000",0,0,0,0,0.0247848195962036,0,0,0,0,0.0440261465522236,0,0,0,0.0298232201790499,0,0.0735988775813304,0,0.0689773381648737,0,0,0.0721114637044331,0.141027334308379,0,0,0,0
"18","SVE_0001000300",0,0,0,0,0,0,0,0,0.0215266230744354,0,0,0.0556065499931674,0,0,0.129583878880943,0.128216808567944,0,0.063477140135803,0.0939185491800612,0.272204350963529,0,0,0.0763789502546209,0,0,0
"19","SVE_0001000400",0,0,0,0,0,0,0,0,0,0,0.0210647326831203,0,0,0,0.128326857663205,0.12589471593955,0.123654997667249,0,0.0910278826308948,0.267925122868828,0,0,0.0748358355499846,0,0,0
"20","SVE_0001071900",0.026970177106548,0,0.0573991493770034,0,0,0,0.167494009509699,0.0485918621767246,0,0,0.0281370833668408,0.130578118048022,0,0,0.0720904838273635,0.0706179131916208,0,0,0,0,0,0,0,0,0.0839496392530511,0
